,start,end,hdf5
0,2004-12-28 15:35:15,2004-12-28 17:14:08,OMI-Aura_L2-OMMYDCLD_2004m1228t1535-o02423_v003-2014m1212t032015.he5
1,2007-02-28 16:33:08,2007-02-28 18:12:02,OMI-Aura_L2-OMMYDCLD_2007m0228t1633-o13957_v003-2015m0101t155446.he5
2,2010-06-17 16:53:18,2010-06-17 18:32:11,OMI-Aura_L2-OMMYDCLD_2010m0617t1653-o31505_v003-2015m0130t084848.he5
3,2013-10-24 16:35:57,2013-10-24 18:14:50,OMI-Aura_L2-OMMYDCLD_2013m1024t1635-o49344_v003-2015m0226t192120.he5
4,2011-05-17 17:03:35,2011-05-17 18:42:28,OMI-Aura_L2-OMMYDCLD_2011m0517t1703-o36369_v003-2015m0207t083251.he5
5,2007-07-21 15:57:33,2007-07-21 17:36:26,OMI-Aura_L2-OMMYDCLD_2007m0721t1557-o16039_v003-2015m0106t080236.he5
6,2007-11-09 16:41:28,2007-11-09 18:20:20,OMI-Aura_L2-OMMYDCLD_2007m1109t1641-o17656_v003-2015m0109t113306.he5
7,2005-11-01 16:51:26,2005-11-01 18:30:19,OMI-Aura_L2-OMMYDCLD_2005m1101t1651-o06909_v003-2014m1218t181619.he5
8,2011-07-05 17:47:22,2011-07-05 19:26:15,OMI-Aura_L2-OMMYDCLD_2011m0705t1747-o37083_v003-2015m0208t105658.he5
9,2004-12-09 16:43:12,2004-12-09 18:22:05,OMI-Aura_L2-OMMYDCLD_2004m1209t1643-o02147_v003-2014m1211t203724.he5
10,2007-11-18 16:34:22,2007-11-18 18:13:14,OMI-Aura_L2-OMMYDCLD_2007m1118t1634-o17787_v003-2015m0109t135929.he5
11,2008-11-10 15:53:29,2008-11-10 17:32:22,OMI-Aura_L2-OMMYDCLD_2008m1110t1553-o23000_v003-2015m0116t202553.he5
12,2009-11-20 15:58:35,2009-11-20 17:37:27,OMI-Aura_L2-OMMYDCLD_2009m1120t1558-o28461_v003-2015m0125t204317.he5
13,2006-03-03 15:52:50,2006-03-03 17:31:43,OMI-Aura_L2-OMMYDCLD_2006m0303t1552-o08685_v003-2014m1221t115124.he5
14,2008-01-09 17:46:18,2008-01-09 19:25:11,OMI-Aura_L2-OMMYDCLD_2008m0109t1746-o18545_v003-2015m0110t112544.he5
15,2013-09-12 17:42:40,2013-09-12 19:21:33,OMI-Aura_L2-OMMYDCLD_2013m0912t1742-o48733_v003-2015m0224t115445.he5
