Site,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02
AberjonaRiver(Lower),10.800,10.700,10.650,7.800,7.000,3.600,5.400,6.200,6.600,5.900,6.600,,10.45,,10.60,9.60,7.10,5.95,5.40,6.10,5.90,3.90,9.90,10.00,,11.20,9.20,6.40,6.80,5.90,5.60,4.35,7.20,7.40,8.40,11.200,11.350
MysticRiver(Upper),10.000,9.900,10.400,9.900,7.800,7.400,7.650,6.800,7.600,7.200,8.200,10.150,10.10,,9.90,9.40,9.00,7.80,7.00,7.40,6.20,6.25,7.50,10.00,10.40,9.90,10.40,9.40,6.30,7.00,7.20,6.70,7.00,7.60,7.60,10.8,11.8
UpperMysticLake,10.800,10.500,10.600,10.800,8.100,8.200,10.500,8.400,8.000,6.800,8.150,,7.90,8.60,6.40,9.30,9.20,7.80,8.00,8.20,6.95,8.10,8.60,10.00,10.70,9.95,9.50,9.40,7.60,8.75,9.00,7.40,8.60,8.70,8.30,10.8,11.4










