,2008-08-13,2011-11-02,2012-08-08,2012-08-29,2012-10-02,2012-10-09,2012-11-02,2012-11-12,2012-12-04,2013-01-14,2013-03-27,2013-05-10,2013-06-17,2013-07-17,2013-08-12,2013-08-15,2013-08-16
2008-08-13,0.427657235132,0.664328708453,0.720628522416,0.671305179626,0.699173135879,0.706269631987,0.740000463739,0.675635687404,0.632364982997,0.795833854695,0.687388863293,0.66720928661,0.653087833978,0.664014124828,0.697437972228,0.753945239238,0.764097517702
2011-11-02,0.664328708453,0.706424881404,0.692868431217,0.655383742581,0.653650275855,0.64096318229,0.644829554407,0.602257172274,0.633053567654,0.743152120558,0.645622809632,0.64086910152,0.63643825338,0.64725240261,0.662637709758,0.650249004001,0.66032764094
2012-08-08,0.720628522416,0.692868431217,0.701758567382,0.671678789365,0.667729544366,0.681091412772,0.659647081124,0.661842975758,0.681365752395,0.804720038404,0.709948351053,0.701232936326,0.684268966152,0.672819711345,0.685406676564,0.701496109948,0.703400027062
2012-08-29,0.671305179626,0.655383742581,0.671678789365,0.660601516278,0.655894362611,0.66755288455,0.668245852624,0.645147956062,0.651512342105,0.791686396527,0.711997444618,0.693241587288,0.663816991901,0.668128868246,0.684720864725,0.701612775924,0.700378185802
2012-10-02,0.699173135879,0.653650275855,0.667729544366,0.655894362611,0.649737075385,0.660331145273,0.651712559753,0.629721907049,0.637160297229,0.774861701324,0.686754109338,0.673568645859,0.65212087332,0.65970098399,0.642808214196,0.696827988894,0.666021941742
2012-10-09,0.706269631987,0.64096318229,0.681091412772,0.66755288455,0.660331145273,0.657334813374,0.673268248945,0.647512981351,0.625235335197,0.758378215254,0.688983153717,0.675102939556,0.658778203422,0.671190329487,0.674395208626,0.672469189669,0.671653227982
2012-11-02,0.740000463739,0.644829554407,0.659647081124,0.668245852624,0.651712559753,0.673268248945,0.669280347774,0.638330605939,0.683173277535,0.765133284597,0.710805635048,0.704409967671,0.69201118917,0.668972711814,0.673315870613,0.652947663012,0.69876239111
2012-11-12,0.675635687404,0.602257172274,0.661842975758,0.645147956062,0.629721907049,0.647512981351,0.638330605939,0.63874003351,0.62573136063,0.76935535839,0.68341209747,0.667583750571,0.650977326422,0.654122503881,0.657119587091,0.655335875686,0.678864213901
2012-12-04,0.632364982997,0.633053567654,0.681365752395,0.651512342105,0.637160297229,0.625235335197,0.683173277535,0.62573136063,0.533321688655,0.740651376735,0.630298890608,0.603040377993,0.585853850197,0.652060433796,0.661122746795,0.669731290489,0.696883204938
2013-01-14,0.795833854695,0.743152120558,0.804720038404,0.791686396527,0.774861701324,0.758378215254,0.765133284597,0.76935535839,0.740651376735,0.713123590325,0.753196114779,0.765608393399,0.758877367332,0.778910137993,0.785335076506,0.75944036258,0.779341693603
2013-03-27,0.687388863293,0.645622809632,0.709948351053,0.711997444618,0.686754109338,0.688983153717,0.710805635048,0.68341209747,0.630298890608,0.753196114779,0.605233734352,0.625196378673,0.653810605045,0.682277295913,0.706455233721,0.691661623669,0.726446235052
2013-05-10,0.66720928661,0.64086910152,0.701232936326,0.693241587288,0.673568645859,0.675102939556,0.704409967671,0.667583750571,0.603040377993,0.765608393399,0.625196378673,0.636087860707,0.636049319316,0.676762514807,0.697320850085,0.711569004018,0.726379850427
2013-06-17,0.653087833978,0.63643825338,0.684268966152,0.663816991901,0.65212087332,0.658778203422,0.69201118917,0.650977326422,0.585853850197,0.758877367332,0.653810605045,0.636049319316,0.637157786744,0.64876692121,0.664622868974,0.679262660269,0.691733584016
2013-07-17,0.664014124828,0.64725240261,0.672819711345,0.668128868246,0.65970098399,0.671190329487,0.668972711814,0.654122503881,0.652060433796,0.778910137993,0.682277295913,0.676762514807,0.64876692121,0.684320897419,0.669629023806,0.655301682824,0.70324446209
2013-08-12,0.697437972228,0.662637709758,0.685406676564,0.684720864725,0.642808214196,0.674395208626,0.673315870613,0.657119587091,0.661122746795,0.785335076506,0.706455233721,0.697320850085,0.664622868974,0.669629023806,0.665916141702,0.698592170176,0.688541079026
2013-08-15,0.753945239238,0.650249004001,0.701496109948,0.701612775924,0.696827988894,0.672469189669,0.652947663012,0.655335875686,0.669731290489,0.75944036258,0.691661623669,0.711569004018,0.679262660269,0.655301682824,0.698592170176,0.596424308216,0.668634608444
2013-08-16,0.764097517702,0.66032764094,0.703400027062,0.700378185802,0.666021941742,0.671653227982,0.69876239111,0.678864213901,0.696883204938,0.779341693603,0.726446235052,0.726379850427,0.691733584016,0.70324446209,0.688541079026,0.668634608444,0.704077729039
