	lasso-r2	rf-r2	lasso-mse	rf-mse	lasso-cv-oob	rf-cv-oob
aerobic_heterotrophy	0.95671396342	3006.69139532	20.5447519645	0.810858718453	13137.9425944	0.642985270357
ammonia_oxidation	0.333947963926	20715.7122378	268.831923812	0.216220627977	24377.2964413	0.255860021254
denitrification	0.721053596145	3083.81157702	289.195656205	0.572549688366	4725.55373146	0.380222967169
iron_oxidation_(nitrate)	0.202973525076	2460.23468946	22.3896423691	0.138697557147	2658.63959942	-0.0213799421486
iron_oxidation_(oxygen)	0.235965816273	1350.36534001	12.4090947454	0.140514805109	1519.06687181	0.254026196879
iron_reduction	0.385150444267	81617.042168	245.601574595	0.20373200815	105699.089577	-0.0856305019964
methanogenesis	1.0	0.0	0.0	1.0	0.0	1.0
methanotrophy_(oxygen)	0.214430742537	706656919.347	139114.556156	0.0407458930902	862894704.216	0.0301890435369
methanotrophy_(sulfate)	0.820612176736	316.362837718	27.2447562967	0.71599074008	500.869979755	0.744923366159
sulfate_reduction	0.0173838099436	5186.18166313	32.0429499007	-0.151752569156	6078.87201032	0.49864697606
sulfur_oxidation	0.0631237457247	105340.575989	520.495297113	-7.85505909067e-05	112446.921429	-0.269187789343
C	0.7161275435	266400.073346	23014.0956627	0.560423276578	412520.724289	0.483935280761
CH4	0.62529583782	1107.14475525	20.4856314526	0.533140179209	1379.43864573	0.717550498888
Fe+	0.204395871942	109.894228469	1.04853600603	0.379323337845	85.7320626058	0.143742142283
Fe-	0.607399993803	479.250805754	5.50811920773	0.418984223471	709.251845803	0.717795844933
N+	0.915172556045	130.524340741	33.8646771169	0.888781734245	171.132007982	0.842786113658
N-	0.785704062849	111.141516015	3.97278675623	0.720269454954	145.078237439	0.828942638702
Null	1.0	0.0	0.0	1.0	0.0	1.0
O	0.7437642098	6940.82874407	351.000946265	0.633370929913	9931.1247117	0.559826762462
S+	0.758976532037	350.00890487	9.73192794935	0.641900930932	520.023481774	0.746429797467
S-	0.820855903111	2343.06191142	191.528461476	0.655652613725	4503.78917916	0.793410825463
